sentence_key	OLD1_sentence_key	texte_expe	item	type-de-phrase	audio_type	task_question_type	list	spk_sex	spk_id	num_syll	stim_num	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	OK_praat_seg	neg	texte	OK_Expe_perception	dossier-brat	OLDsentence_key	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	texte_turn_brut	spk_age	OLD_sentence_key
011-is.it.decla-de-DE-2-B-0-06-AW-F-WE2_A003_2972s210	147-de-DE-2-B-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	delex	is.it.question	E	F	KC3	6	011	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE	147-de-DE-2-A-0-06-AW-F-WE2_A003_2972s210
012-is.it.decla-de-CL-2-C-0-06-AW-F-WE2_A003_2972s210	027-de-CL-2-C-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	clair	is.it.decla	F	F	KC3	6	012	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE	027-de-CL-2-B-0-06-AW-F-WE2_A003_2972s210
013-is.it.decla-de-DE-3-A-0-10-AW-F-WE2_A003_4686s24	122-de-DE-3-A-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	delex	is.it.decla	A	F	KC3	10	013	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE	122-de-DE-3-B-0-10-AW-F-WE2_A003_4686s24
014-is.it.decla-de-CL-3-B-0-10-AW-F-WE2_A003_4686s24	002-de-CL-3-B-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	clair	is.it.question	B	F	KC3	10	014	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE	002-de-CL-3-C-0-10-AW-F-WE2_A003_4686s24
015-is.it.decla-de-OR-3-C-0-10-AW-F-WE2_A003_4686s24	062-de-OR-3-C-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	orig	is.it.question	C	F	KC3	10	015	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE	062-de-OR-3-A-0-10-AW-F-WE2_A003_4686s24
016-is.it.decla-de-DE-3-A-0-10-AW-F-WE2_A003_4686s24	122-de-DE-3-A-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	delex	is.it.question	D	F	KC3	10	016	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE	122-de-DE-3-B-0-10-AW-F-WE2_A003_4686s24
017-is.it.decla-de-CL-3-B-0-10-AW-F-WE2_A003_4686s24	002-de-CL-3-B-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	clair	is.it.decla	E	F	KC3	10	017	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE	002-de-CL-3-C-0-10-AW-F-WE2_A003_4686s24
018-is.it.decla-de-OR-3-C-0-10-AW-F-WE2_A003_4686s24	062-de-OR-3-C-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	orig	is.it.decla	F	F	KC3	10	018	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE	062-de-OR-3-A-0-10-AW-F-WE2_A003_4686s24
019-is.it.decla-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	clair	is.it.question	A	F	ZU9	8	019	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98
020-is.it.decla-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98	088-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	orig	is.it.question	B	F	ZU9	8	020	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	088-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98
021-is.it.decla-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	delex	is.it.question	C	F	ZU9	8	021	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98
022-is.it.decla-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	clair	is.it.decla	D	F	ZU9	8	022	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98
023-is.it.decla-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98	088-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	orig	is.it.decla	E	F	ZU9	8	023	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	088-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98
024-is.it.decla-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	delex	is.it.decla	F	F	ZU9	8	024	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98
025-is.it.decla-de-OR-5-A-0-08-BC-F-WE2_A007_1541s511	063-de-OR-5-A-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	orig	is.it.question	A	F	ZU9	8	025	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE	063-de-OR-5-C-0-08-BC-F-WE2_A007_1541s511
026-is.it.decla-de-DE-5-B-0-08-BC-F-WE2_A007_1541s511	123-de-DE-5-B-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	delex	is.it.question	B	F	ZU9	8	026	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE	123-de-DE-5-A-0-08-BC-F-WE2_A007_1541s511
027-is.it.decla-de-CL-5-C-0-08-BC-F-WE2_A007_1541s511	003-de-CL-5-C-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	clair	is.it.decla	C	F	ZU9	8	027	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE	003-de-CL-5-B-0-08-BC-F-WE2_A007_1541s511
028-is.it.decla-de-OR-5-A-0-08-BC-F-WE2_A007_1541s511	063-de-OR-5-A-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	orig	is.it.decla	D	F	ZU9	8	028	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE	063-de-OR-5-C-0-08-BC-F-WE2_A007_1541s511
029-is.it.decla-de-DE-5-B-0-08-BC-F-WE2_A007_1541s511	123-de-DE-5-B-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	delex	is.it.decla	E	F	ZU9	8	029	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE	123-de-DE-5-A-0-08-BC-F-WE2_A007_1541s511
030-is.it.decla-de-CL-5-C-0-08-BC-F-WE2_A007_1541s511	003-de-CL-5-C-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	clair	is.it.question	F	F	ZU9	8	030	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE	003-de-CL-5-B-0-08-BC-F-WE2_A007_1541s511
031-is.it.decla-de-DE-6-A-0-12-BC-F-WE2_A007_2577s594	149-de-DE-6-A-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	delex	is.it.question	A	F	ZU9	12	031	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	149-de-DE-6-B-0-12-BC-F-WE2_A007_2577s594
032-is.it.decla-de-CL-6-B-0-12-BC-F-WE2_A007_2577s594	029-de-CL-6-B-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	clair	is.it.decla	B	F	ZU9	12	032	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	029-de-CL-6-C-0-12-BC-F-WE2_A007_2577s594
033-is.it.decla-de-OR-6-C-0-12-BC-F-WE2_A007_2577s594	089-de-OR-6-C-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	orig	is.it.decla	C	F	ZU9	12	033	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	089-de-OR-6-A-0-12-BC-F-WE2_A007_2577s594
034-is.it.decla-de-DE-6-A-0-12-BC-F-WE2_A007_2577s594	149-de-DE-6-A-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	delex	is.it.decla	D	F	ZU9	12	034	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	149-de-DE-6-B-0-12-BC-F-WE2_A007_2577s594
035-is.it.decla-de-CL-6-B-0-12-BC-F-WE2_A007_2577s594	029-de-CL-6-B-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	clair	is.it.question	E	F	ZU9	12	035	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	029-de-CL-6-C-0-12-BC-F-WE2_A007_2577s594
036-is.it.decla-de-OR-6-C-0-12-BC-F-WE2_A007_2577s594	089-de-OR-6-C-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	orig	is.it.question	F	F	ZU9	12	036	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	089-de-OR-6-A-0-12-BC-F-WE2_A007_2577s594
037-is.it.decla-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	clair	is.it.decla	A	F	HF8	6	037	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554
038-is.it.decla-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554	064-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	orig	is.it.decla	B	F	HF8	6	038	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE	064-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554
039-is.it.decla-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	delex	is.it.decla	C	F	HF8	6	039	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554
040-is.it.decla-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	clair	is.it.question	D	F	HF8	6	040	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554
041-is.it.decla-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554	064-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	orig	is.it.question	E	F	HF8	6	041	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE	064-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554
042-is.it.decla-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	delex	is.it.question	F	F	HF8	6	042	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554
043-is.it.decla-de-OR-8-A-0-12-AU-F-WE2_A008_3247s562	090-de-OR-8-A-0-12-AU-F-WE2_A008_3247s562	c'est intéressant	8	decla	orig	is.it.decla	A	F	HF8	12	043	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	bah tu peux donner ton avis c'est intéressant 	NOAGE	090-de-OR-8-C-0-12-AU-F-WE2_A008_3247s562
044-is.it.decla-de-DE-8-B-0-12-AU-F-WE2_A008_3247s562	150-de-DE-8-B-0-12-AU-F-WE2_A008_3247s562	c'est intéressant	8	decla	delex	is.it.decla	B	F	HF8	12	044	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	bah tu peux donner ton avis c'est intéressant 	NOAGE	150-de-DE-8-A-0-12-AU-F-WE2_A008_3247s562
