sentence_key	texte_expe	type-de-phrase	audio-type	num_syll	spksex	spk	stimnum	pronom	adj	adj_pos
208-we-OR-FI-FI-0-10-SI-M-quel_joli_bureau_martin_a_construit	quel joli bureau Martin a construit ?	wh-ex-situ	orig	10	M	SI	208	quel	joli	PRE
209-we-OR-FI-FI-0-11-SI-M-quelle_femme_époustouflante_il_va_épouser	quelle femme époustouflante il va épouser ?	wh-ex-situ	orig	11	M	SI	209	quelle	époustouflant	POST
210-we-OR-FI-FI-0-9-SI-M-quelle_haute_tour_il_a_escaladé	quelle haute tour il a escaladé ?	wh-ex-situ	orig	9	M	SI	210	quelle	haut	PRE
211-ex-CL-FI-FI-0-10-LU-M-quel_chien_minuscule_il_a_caressé	quel chien minuscule il a caressé !	wh-exclamative	clair	10	M	LU	211	quel	minuscule	POST
212-ex-CL-FI-FI-0-13-LU-M-quel_grandiose_évènement_françoise_a_organisé	quel grandiose évènement Françoise a organisé !	wh-exclamative	clair	13	M	LU	212	quel	grandiose	PRE
213-ex-CL-FI-FI-0-9-LU-M-quel_superbe_tableau_pierre_a_peint	quel superbe tableau Pierre a peint !	wh-exclamative	clair	9	M	LU	213	quel	superbe	PRE
214-ex-DE-FI-FI-0-8-LU-M-quel_homme_grand_sophie_a_battu	quel homme grand Sophie a battu !	wh-exclamative	delex	8	M	LU	214	quel	grand	POST
215-ex-DE-FI-FI-0-11-LU-M-quel_somptueux_opéra_ils_ont_programmé	quel somptueux opéra ils ont programmé !	wh-exclamative	delex	11	M	LU	215	quel	somptueux	PRE
216-ex-OR-FI-FI-0-11-LU-M-quelle_fille_gentille_l_instituteur_a_grondée	quelle fille gentille l’instituteur a grondée !	wh-exclamative	orig	11	M	LU	216	quelle	gentil	POST
217-ex-OR-FI-FI-0-12-LU-M-quelle_salle_magnifique_la_mairie_a_décorée	quelle salle magnifique la mairie a décorée !	wh-exclamative	orig	12	M	LU	217	quelle	magnifique	POST
218-ex-OR-FI-FI-0-11-LU-M-quelle_utile_inspiration_il_m_a_donnée	quelle utile inspiration il m’a donnée !	wh-exclamative	orig	11	M	LU	218	quelle	utile	PRE
219-ex-CL-FI-FI-0-14-MR-F-quel_enthousiaste_musicien_a_enregistré_l_album	quel enthousiaste musicien a enregistré l’album !	wh-exclamative	clair	14	F	MR	219	quel	enthousiaste	PRE
220-ex-CL-FI-FI-0-12-MR-F-quelle_balade_agréable_ils_ont_organisée	quelle balade agréable ils ont organisée !	wh-exclamative	clair	12	F	MR	220	quelle	agréable	POST
221-ex-CL-FI-FI-0-9-MR-F-quelle_maison_jolie_ils_ont_trouvée	quelle maison jolie ils ont trouvée !	wh-exclamative	clair	9	F	MR	221	quelle	joli	POST
222-ex-DE-FI-FI-0-10-MR-F-quel_époustouflant_spectacle_ils_ont_vu	quel époustouflant spectacle ils ont vu !	wh-exclamative	delex	10	F	MR	222	quel	époustouflant	PRE
223-ex-DE-FI-FI-0-10-MR-F-quel_étonnant_programme_il_a_prévu	quel étonnant programme il a prévu !	wh-exclamative	delex	10	F	MR	223	quel	étonnant	PRE
224-ex-OR-FI-FI-0-13-MR-F-quelle_délicieuse_omelette_le_serveur_a_apportée	quelle délicieuse omelette le serveur a apportée !	wh-exclamative	orig	13	F	MR	224	quelle	délicieux	PRE
225-ex-OR-FI-FI-0-10-MR-F-quelle_nouvelle_excellente_elle_a_reçue	quelle nouvelle excellente elle a reçue !	wh-exclamative	orig	10	F	MR	225	quelle	excellent	POST
226-ex-OR-FI-FI-0-11-MR-F-quelle_personne_fabuleuse_il_a_épousée	quelle personne fabuleuse il a épousée !	wh-exclamative	orig	11	F	MR	226	quelle	fabuleux	POST
227-ex-CL-FI-FI-0-7-MT-F-quelle_fin_curieuse_il_a_eu	quelle fin curieuse il a eu !	wh-exclamative	clair	7	F	MT	227	quelle	curieux	POST
228-ex-CL-FI-FI-0-15-MT-F-quelle_parfaite_introduction_le_doctorant_a_rédigée	quelle parfaite introduction le doctorant a rédigée !	wh-exclamative	clair	15	F	MT	228	quelle	parfait	PRE
229-ex-DE-FI-FI-0-12-MT-F-quel_appétissant_repas_il_nous_a_préparé	quel appétissant repas il nous a préparé !	wh-exclamative	delex	12	F	MT	229	quel	appétissant	PRE
230-ex-DE-FI-FI-0-9-MT-F-quel_livre_ancien_marie_a_trouvé	quel livre ancien Marie a trouvé !	wh-exclamative	delex	9	F	MT	230	quel	vieux	POST
231-ex-DE-FI-FI-0-8-MT-F-quel_mauvais_livre_jérôme_a_lu	quel mauvais livre Jérôme a lu !	wh-exclamative	delex	8	F	MT	231	quel	manipulateur	PRE
232-ex-OR-FI-FI-0-13-MT-F-quelle_intelligente_élève_il_a_récompensée	quelle intelligente élève il a récompensée !	wh-exclamative	orig	13	F	MT	232	quelle	intelligent	PRE
233-ex-OR-FI-FI-0-10-MT-F-quelle_mignonne_sculpture_sophie_a_vendue	quelle mignonne sculpture Sophie a vendue !	wh-exclamative	orig	10	F	MT	233	quelle	mignon	PRE
234-ex-CL-FI-FI-0-11-SI-M-quel_garçon_adorable_elle_a_rencontré	quel garçon adorable elle a rencontré !	wh-exclamative	clair	11	M	SI	234	quel	adorable	PRE
235-ex-CL-FI-FI-0-9-SI-M-quelle_montagne_haute_ils_ont_creusée	quelle montagne haute ils ont creusée !	wh-exclamative	clair	9	M	SI	235	quelle	haut	POST
236-ex-DE-FI-FI-0-11-SI-M-quel_énorme_bâtiment_il_a_construit	quel énorme bâtiment il a construit !	wh-exclamative	delex	11	M	SI	236	quel	énorme	PRE
237-ex-DE-FI-FI-0-10-SI-M-quel_orage_violent_a_fait_peur_au_chien	quel orage violent a fait peur au chien !	wh-exclamative	delex	10	M	SI	237	quel	violent	POST
238-ex-DE-FI-FI-0-11-SI-M-quel_professeur_charmant_ils_ont_décoré	quel professeur charmant ils ont décoré !	wh-exclamative	delex	11	M	SI	238	quel	charmant	POST
239-ex-OR-FI-FI-0-11-SI-M-quelle_église_merveilleuse_ils_ont_visitée	quelle église merveilleuse ils ont visitée !	wh-exclamative	orig	11	M	SI	239	quelle	merveilleux	POST
240-ex-OR-FI-FI-0-12-SI-M-quelle_sorcière_méchante_le_héros_a_combattu	quelle sorcière méchante le héros a combattu !	wh-exclamative	orig	12	M	SI	240	quelle	méchant	POST
