sentence_key	texte_expe	item	type-de-phrase	audio_type	list	spk_sex	spk_id	num_syll	stim_num	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	OK_praat_seg	neg	texte	OK_Expe_perception	dossier-brat	OLDsentence_key	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	texte_turn_brut	spk_age	OLD_sentence_key
006-de-CL-10-A-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	10	decla	clair	A	F	HF8	9	6	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	ils disent bonsoir même quand c'est le matin 	NOAGE	006-de-CL-10-A-0-09-AU-F-WE2_A008_3984s177
066-de-OR-10-B-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	10	decla	orig	B	F	HF8	9	66	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	ils disent bonsoir même quand c'est le matin 	NOAGE	066-de-OR-10-B-0-09-AU-F-WE2_A008_3984s177
126-de-DE-10-C-0-09-AU-F-WE2_A008_3984s177	ils disent bonsoir même quand c'est le matin	10	decla	delex	C	F	HF8	9	126	NO	NO	4	NO	NO	YES	NO	ils disent bonsoir même quand c'est le matin  	YES	WE2_decl_8	WE2_A008_3984s177	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	ils disent bonsoir même quand c'est le matin 	NOAGE	126-de-DE-10-C-0-09-AU-F-WE2_A008_3984s177
007-de-CL-11-C-0-10-AT-F-WE2_A014_147s558	elle est dans un lycée professionnel  	11	decla	clair	C	F	EW15	10	7	NO	NO	4	NO	NO	YES	NO	elle aime beaucoup aider les jeunes et elle est dans un lycée professionnel  	YES		WE2_A014_147s558		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	007-de-CL-11-B-0-10-AT-F-WE2_A014_147s558
067-de-OR-11-A-0-10-AT-F-WE2_A014_147s558	elle est dans un lycée professionnel  	11	decla	orig	A	F	EW15	10	67	NO	NO	4	NO	NO	YES	NO	elle aime beaucoup aider les jeunes et elle est dans un lycée professionnel  	YES		WE2_A014_147s558		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	067-de-OR-11-C-0-10-AT-F-WE2_A014_147s558
127-de-DE-11-B-0-10-AT-F-WE2_A014_147s558	elle est dans un lycée professionnel  	11	decla	delex	B	F	EW15	10	127	NO	NO	4	NO	NO	YES	NO	elle aime beaucoup aider les jeunes et elle est dans un lycée professionnel  	YES		WE2_A014_147s558		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	127-de-DE-11-A-0-10-AT-F-WE2_A014_147s558
008-de-CL-12-B-0-08-AC-M-WE2_A016_2716s551	on était à santiago	12	decla	clair	B	M	BT17	8	8	NO	NO	3	NO	NO	YES	NO	on était à Santiago  	YES	WE2_decl_4	WE2_A016_2716s551	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	on était à Santiago 	NOAGE	008-de-CL-12-C-0-08-AC-M-WE2_A016_2716s551
068-de-OR-12-C-0-08-AC-M-WE2_A016_2716s551	on était à santiago	12	decla	orig	C	M	BT17	8	68	NO	NO	3	NO	NO	YES	NO	on était à Santiago  	YES	WE2_decl_4	WE2_A016_2716s551	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	on était à Santiago 	NOAGE	068-de-OR-12-A-0-08-AC-M-WE2_A016_2716s551
128-de-DE-12-A-0-08-AC-M-WE2_A016_2716s551	on était à santiago	12	decla	delex	A	M	BT17	8	128	NO	NO	3	NO	NO	YES	NO	on était à Santiago  	YES	WE2_decl_4	WE2_A016_2716s551	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	on était à Santiago 	NOAGE	128-de-DE-12-B-0-08-AC-M-WE2_A016_2716s551
009-de-CL-13-A-0-13-AX-M-WE2_A018_1809s772	je faisais beaucoup de musique aussi quand j'étais plus jeune  	13	decla	clair	A	M	UI19	13	9	NO	NO	3	NO	NO	YES	NO	je faisais beaucoup de musique aussi quand j'étais plus jeune  	YES		WE2_A018_1809s772		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	009-de-CL-13-A-0-13-AX-M-WE2_A018_1809s772
069-de-OR-13-B-0-13-AX-M-WE2_A018_1809s772	je faisais beaucoup de musique aussi quand j'étais plus jeune  	13	decla	orig	B	M	UI19	13	69	NO	NO	3	NO	NO	YES	NO	je faisais beaucoup de musique aussi quand j'étais plus jeune  	YES		WE2_A018_1809s772		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	069-de-OR-13-B-0-13-AX-M-WE2_A018_1809s772
129-de-DE-13-C-0-13-AX-M-WE2_A018_1809s772	je faisais beaucoup de musique aussi quand j'étais plus jeune  	13	decla	delex	C	M	UI19	13	129	NO	NO	3	NO	NO	YES	NO	je faisais beaucoup de musique aussi quand j'étais plus jeune  	YES		WE2_A018_1809s772		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	129-de-DE-13-C-0-13-AX-M-WE2_A018_1809s772
010-de-CL-14-C-0-09-AS-F-WE2_A021_630s927	je viens d'acheter une petite maison	14	decla	clair	C	F	DF22	9	10	NO	NO	3	NO	NO	YES	NO	non parce que je viens d'acheter une petite maison  	YES	WE2_decl_9	WE2_A021_630s927	9	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	non parce que je viens d'acheter une petite maison 	NOAGE	010-de-CL-14-B-0-09-AS-F-WE2_A021_630s927
070-de-OR-14-A-0-09-AS-F-WE2_A021_630s927	je viens d'acheter une petite maison	14	decla	orig	A	F	DF22	9	70	NO	NO	3	NO	NO	YES	NO	non parce que je viens d'acheter une petite maison  	YES	WE2_decl_9	WE2_A021_630s927	9	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	non parce que je viens d'acheter une petite maison 	NOAGE	070-de-OR-14-C-0-09-AS-F-WE2_A021_630s927
130-de-DE-14-B-0-09-AS-F-WE2_A021_630s927	je viens d'acheter une petite maison	14	decla	delex	B	F	DF22	9	130	NO	NO	3	NO	NO	YES	NO	non parce que je viens d'acheter une petite maison  	YES	WE2_decl_9	WE2_A021_630s927	9	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	non parce que je viens d'acheter une petite maison 	NOAGE	130-de-DE-14-A-0-09-AS-F-WE2_A021_630s927
011-de-CL-15-B-0-08-AN-F-WE2_A062_4732s952	on va se promener à Orléans 	15	decla	clair	B	F	CL67	8	11	NO	NO	3	NO	NO	YES	NO	mais pas pour dire on va se promener à Orléans 	YES		WE2_A062_4732s952		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	011-de-CL-15-C-0-08-AN-F-WE2_A062_4732s952
071-de-OR-15-C-0-08-AN-F-WE2_A062_4732s952	on va se promener à Orléans 	15	decla	orig	C	F	CL67	8	71	NO	NO	3	NO	NO	YES	NO	mais pas pour dire on va se promener à Orléans 	YES		WE2_A062_4732s952		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	071-de-OR-15-A-0-08-AN-F-WE2_A062_4732s952
131-de-DE-15-A-0-08-AN-F-WE2_A062_4732s952	on va se promener à Orléans 	15	decla	delex	A	F	CL67	8	131	NO	NO	3	NO	NO	YES	NO	mais pas pour dire on va se promener à Orléans 	YES		WE2_A062_4732s952		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	131-de-DE-15-B-0-08-AN-F-WE2_A062_4732s952
012-de-CL-16-A-0-05-AB-F-WE2_A063_1111s566	c'est trop polémique 	16	decla	clair	A	F	AG68	5	12	NO	NO	4	NO	NO	YES	NO	et pas de parents d'élèves non plus parce que c'est trop polémique 	YES		WE2_A063_1111s566		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE	012-de-CL-16-A-0-05-AB-F-WE2_A063_1111s566
072-de-OR-16-B-0-05-AB-F-WE2_A063_1111s566	c'est trop polémique 	16	decla	orig	B	F	AG68	5	72	NO	NO	4	NO	NO	YES	NO	et pas de parents d'élèves non plus parce que c'est trop polémique 	YES		WE2_A063_1111s566		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE	072-de-OR-16-B-0-05-AB-F-WE2_A063_1111s566
132-de-DE-16-C-0-05-AB-F-WE2_A063_1111s566	c'est trop polémique 	16	decla	delex	C	F	AG68	5	132	NO	NO	4	NO	NO	YES	NO	et pas de parents d'élèves non plus parce que c'est trop polémique 	YES		WE2_A063_1111s566		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE	132-de-DE-16-C-0-05-AB-F-WE2_A063_1111s566
013-de-CL-17-C-0-08-AB-F-WE2_A063_537s475	c'est quand même faisable en vélo 	17	decla	clair	C	F	AG68	8	13	NO	NO	3	NO	NO	YES	NO	quoi c'est quand même faisable en vélo 	YES		WE2_A063_537s475		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE	013-de-CL-17-B-0-08-AB-F-WE2_A063_537s475
073-de-OR-17-A-0-08-AB-F-WE2_A063_537s475	c'est quand même faisable en vélo 	17	decla	orig	A	F	AG68	8	73	NO	NO	3	NO	NO	YES	NO	quoi c'est quand même faisable en vélo 	YES		WE2_A063_537s475		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE	073-de-OR-17-C-0-08-AB-F-WE2_A063_537s475
133-de-DE-17-B-0-08-AB-F-WE2_A063_537s475	c'est quand même faisable en vélo 	17	decla	delex	B	F	AG68	8	133	NO	NO	3	NO	NO	YES	NO	quoi c'est quand même faisable en vélo 	YES		WE2_A063_537s475		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE	133-de-DE-17-A-0-08-AB-F-WE2_A063_537s475
014-de-CL-18-B-0-06-AB-F-WE2_A063_783s321	ils sont enthousiastes 	18	decla	clair	B	F	AG68	6	14	NO	NO	3	NO	NO	YES	NO	ils sont toujours heu contents de tout ils sont enthousiastes 	YES		WE2_A063_783s321		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE	014-de-CL-18-C-0-06-AB-F-WE2_A063_783s321
074-de-OR-18-C-0-06-AB-F-WE2_A063_783s321	ils sont enthousiastes 	18	decla	orig	C	F	AG68	6	74	NO	NO	3	NO	NO	YES	NO	ils sont toujours heu contents de tout ils sont enthousiastes 	YES		WE2_A063_783s321		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1		NOAGE	074-de-OR-18-A-0-06-AB-F-WE2_A063_783s321
