TEMP_stimnum			texte_expe	crackage	num_syll	pronom	adj	adj_pos	type-de-phrase	spk	spk_sex
111			quel somptueux opéra ils ont programmé !		11	quel	somptueux	PRE	wh-exclamative	6	M
118			quel chien minuscule il a caressé !		10	quel	minuscule	POST	wh-exclamative	Lucas	M
115			quel superbe tableau Pierre a peint !		9	quel	superbe	PRE	wh-exclamative	Lucas	M
112			quel garçon adorable elle a rencontré !		11	quel	adorable	PRE	wh-exclamative	Lucas	M
109			quel grandiose évènement Françoise a organisé !		13	quel	grandiose	PRE	wh-exclamative	Lucas	M
106			quel enthousiaste musicien a enregistré l’album !		14	quel	enthousiaste	PRE	wh-exclamative	Lucas	M
119			quel livre ancien Marie a trouvé !		9	quel	vieux	POST	wh-exclamative	Simon	M
116			quel professeur charmant ils ont décoré !		11	quel	charmant	POST	wh-exclamative	Simon	M
110			quel mauvais livre Jérôme a lu !		8	quel	manipulateur	PRE	wh-exclamative	Simon	M
107			quel époustouflant spectacle ils ont vu !		10	quel	époustouflant	PRE	wh-exclamative	Simon	M
113			quel appétissant repas il nous a préparé !		12	quel	appétissant	PRE	wh-exclamative	Simon	M
